,id,campaign_id,coupon_id,customer_id,campaign_type,start_date,end_date,campaign_type_X,campaign_type_Y,campaign_duration_days,age_range,marital_status,rented,family_size,no_of_children,income_bracket,age_range_18-25,age_range_26-35,age_range_36-45,age_range_46-55,age_range_56-70,age_range_70+,marital_status_Married,marital_status_Single,has_demographics,n_category_matches,n_brand_matches,coupon_relevance_ratio,n_transactions,total_spend,avg_spend,coupon_usage_rate,coupon_discount_ratio
18,50,18,577,232,X,2013-08-10,2013-10-04,1,0,55,70+,Married,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,57,0,0.09253246753246754,616,62021.270000000004,100.68387987012987,0.006493506493506494,0.0024006280426053838
19,53,18,423,569,X,2013-08-10,2013-10-04,1,0,55,46-55,Married,0.0,1.0,1.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,930,5,0.8771106941838649,1066,181875.87,170.6152626641651,0.0009380863039399625,9.792393020580464e-05
20,57,18,640,769,X,2013-08-10,2013-10-04,1,0,55,,,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1069,0,0.6923575129533679,1544,139438.74,90.31006476683937,0.005829015544041451,0.0016221460406197017
21,59,18,633,942,X,2013-08-10,2013-10-04,1,0,55,,,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,96,0,0.07914262159934048,1213,175388.76,144.59089859851608,0.0008244023083264633,0.00020309169185072062
22,60,25,647,565,Y,2013-10-21,2013-11-22,0,1,32,26-35,Married,0.0,3.0,1.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,448,19,0.24475890985324947,1908,190542.1,99.86483228511531,0.02358490566037736,0.019826851913566607
23,64,21,958,922,Y,2013-09-16,2013-10-18,0,1,32,70+,Married,0.0,2.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,10,0,0.011160714285714286,896,117418.29000000001,131.0471986607143,0.0011160714285714285,0.00030335989393134573
24,67,18,182,554,X,2013-08-10,2013-10-04,1,0,55,,,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,726,514,1.4074914869466515,881,71681.82999999999,81.36416572077184,0.0056753688989784334,0.004472263054668108
25,68,18,541,1241,X,2013-08-10,2013-10-04,1,0,55,,,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,52,0,0.13720316622691292,379,37080.45,97.83759894459102,0.005277044854881266,0.0012006326784060064
26,70,18,526,770,X,2013-08-10,2013-10-04,1,0,55,,,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,150,0,0.7009345794392523,214,18258.979999999996,85.32233644859811,0.0514018691588785,0.024385261389190418
27,73,20,720,704,Y,2013-09-07,2013-11-16,0,1,70,46-55,Married,0.0,5.0,3.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,766,23,0.8184647302904564,964,106864.87,110.85567427385891,0.012448132780082987,0.0037497823185486485
28,76,20,837,322,Y,2013-09-07,2013-11-16,0,1,70,,,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,31,0,0.13963963963963963,222,18858.23,84.94698198198198,0.0,-0.0
29,78,18,497,1134,X,2013-08-10,2013-10-04,1,0,55,,,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,510,6,0.7078189300411523,729,81064.39,111.19943758573388,0.0027434842249657062,0.0007688949488178471
30,81,18,1059,650,X,2013-08-10,2013-10-04,1,0,55,46-55,Married,0.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,872,0,0.8104089219330854,1076,90976.86,84.55098513011153,0.013940520446096654,0.004580835170613714
31,87,18,497,1087,X,2013-08-10,2013-10-04,1,0,55,,,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,448,9,0.6998468606431854,653,87550.23000000001,134.07385911179173,0.0015313935681470138,0.0004068521578983858
32,89,18,185,473,X,2013-08-10,2013-10-04,1,0,55,46-55,Married,0.0,2.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,376,192,0.922077922077922,616,80228.18,130.24055194805194,0.00974025974025974,0.0028370330724191927
33,94,18,1043,546,X,2013-08-10,2013-10-04,1,0,55,26-35,Married,0.0,1.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,262,1,0.19324026451138868,1361,159087.11,116.88986774430565,0.0029390154298310064,0.0008507917454783106
34,96,18,592,1055,X,2013-08-10,2013-10-04,1,0,55,26-35,Married,0.0,3.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1037,11,0.6064814814814815,1728,177506.71,102.72379050925926,0.004629629629629629,0.002548467041048758
35,98,20,726,226,Y,2013-09-07,2013-11-16,0,1,70,46-55,Married,0.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,687,3,0.5336426914153132,1293,169691.76,131.23879350348028,0.007733952049497293,0.0025482675175270736
36,100,18,234,433,X,2013-08-10,2013-10-04,1,0,55,,,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,930,149,0.771265189421015,1399,170108.57,121.59297355253753,0.03788420300214439,0.013543468150957942
37,105,20,864,9,Y,2013-09-07,2013-11-16,0,1,70,,,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,439,1,0.7899461400359067,557,57275.869999999995,102.82921005385995,0.01436265709156194,0.007860727388339976
38,108,20,263,453,Y,2013-09-07,2013-11-16,0,1,70,,,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,44,0,0.03195352214960058,1377,215418.94,156.44076978939725,0.005083514887436456,0.0010830524001278624
39,109,25,816,36,Y,2013-10-21,2013-11-22,0,1,32,36-45,Married,0.0,2.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,124,1,0.125,1000,136432.45,136.43245000000002,0.008,0.0030912000774009404
40,111,18,592,291,X,2013-08-10,2013-10-04,1,0,55,,,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,254,0,0.6287128712871287,404,31021.399999999998,76.78564356435643,0.0,-0.0
41,112,23,417,466,Y,2013-10-08,2013-11-15,0,1,38,36-45,Married,0.0,2.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,744,3,0.6628216503992902,1127,131836.3,116.97985803016857,0.02129547471162378,0.005903381693812706
42,114,19,689,28,Y,2013-08-26,2013-09-27,0,1,32,46-55,Married,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,392,30,0.20555284948855335,2053,272161.88,132.56789089137848,0.0034096444227959084,0.000850670196722627
43,116,19,455,928,Y,2013-08-26,2013-09-27,0,1,32,46-55,Married,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,669,18,0.35706860706860705,1924,195269.27,101.49130457380457,0.011434511434511435,0.004210032638520132
44,119,18,698,378,X,2013-08-10,2013-10-04,1,0,55,36-45,Married,0.0,5.0,3.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,1291,2,0.7325779036827196,1765,205834.89,116.6203342776204,0.027195467422096317,0.0069564979970110985
45,120,18,760,1204,X,2013-08-10,2013-10-04,1,0,55,,,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,410,0,0.6821963394342762,601,66745.48,111.0573710482529,0.0033277870216306157,0.0014943333990556364
46,126,17,703,616,Y,2013-07-29,2013-08-30,0,1,32,,,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,503,15,0.6744791666666666,768,93823.26000000001,122.16570312500001,0.0013020833333333333,0.000569474989464233
47,127,21,242,427,Y,2013-09-16,2013-10-18,0,1,32,56-70,Married,0.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,7,243,0.2465483234714004,1014,113731.4,112.1611439842209,0.04240631163708087,0.011494011328445795
48,128,20,841,145,Y,2013-09-07,2013-11-16,0,1,70,,,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,67,3,0.1323251417769376,529,68574.81,129.63102079395085,0.0,-0.0
49,132,18,238,11,X,2013-08-10,2013-10-04,1,0,55,70+,Single,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,407,222,1.019448946515397,617,122397.23,198.37476499189626,0.01620745542949757,0.022263003827782703
50,133,18,477,1561,X,2013-08-10,2013-10-04,1,0,55,,,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,116,0,0.655367231638418,177,21803.199999999997,123.18192090395479,0.0,-0.0
51,138,18,507,1516,X,2013-08-10,2013-10-04,1,0,55,,,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,156,0,0.11944869831546708,1306,114603.81,87.7517687595712,0.0030627871362940277,0.002020177165139623
52,140,23,952,1182,Y,2013-10-08,2013-11-15,0,1,38,26-35,Married,0.0,3.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,20,0,0.010167768174885612,1967,250426.56999999998,127.3139654295882,0.029994916115912557,0.0060021586367612675
53,143,18,34,974,X,2013-08-10,2013-10-04,1,0,55,46-55,Married,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,24,0,0.06382978723404255,376,34913.06,92.8538829787234,0.04521276595744681,0.013875037020530426
54,145,18,1059,353,X,2013-08-10,2013-10-04,1,0,55,36-45,Single,0.0,2.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,627,2,0.6770721205597416,929,102296.09,110.11419806243272,0.005382131324004306,0.0018107241440019847
55,147,20,837,78,Y,2013-09-07,2013-11-16,0,1,70,36-45,Married,0.0,4.0,2.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,204,0,0.0770392749244713,2648,355838.01999999996,134.379916918429,0.01850453172205438,0.003993980182331276
56,148,18,220,1087,X,2013-08-10,2013-10-04,1,0,55,,,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,448,161,0.9326186830015314,653,87550.23000000001,134.07385911179173,0.0015313935681470138,0.0004068521578983858
57,149,22,993,45,X,2013-09-16,2013-10-18,1,0,32,46-55,Married,0.0,5.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1022,0,0.7638266068759342,1338,165138.16999999998,123.42165171898354,0.1218236173393124,0.031023536230297334
58,150,18,470,792,X,2013-08-10,2013-10-04,1,0,55,36-45,Married,0.0,2.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,852,0,0.6735177865612648,1265,114492.59999999999,90.50798418972332,0.0047430830039525695,0.003867149492630965
59,153,18,200,1422,X,2013-08-10,2013-10-04,1,0,55,36-45,Married,0.0,1.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,269,89,0.9944444444444445,360,47935.13,133.1531388888889,0.016666666666666666,0.011436080386138517
60,157,21,845,1197,Y,2013-09-16,2013-10-18,0,1,32,,,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,336,1,0.649325626204239,519,60377.65,116.33458574181118,0.0019267822736030828,0.0005899534016312327
61,162,18,213,962,X,2013-08-10,2013-10-04,1,0,55,26-35,Married,1.0,3.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1087,377,1.076470588235294,1360,183629.43,135.02163970588234,0.030882352941176472,0.006389498676764396
62,163,18,182,188,X,2013-08-10,2013-10-04,1,0,55,,,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,518,172,0.8529048207663782,809,89118.25999999998,110.15854140914708,0.0012360939431396785,0.00039969362058909146
63,166,18,196,371,X,2013-08-10,2013-10-04,1,0,55,26-35,Married,0.0,1.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,299,62,0.6563636363636364,550,65008.19,118.1967090909091,0.0018181818181818182,0.00019182198427613505
64,168,20,404,1294,Y,2013-09-07,2013-11-16,0,1,70,,,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,364,5,0.7515274949083504,491,57004.6,116.0989816700611,0.008146639511201629,0.004742775144462026
65,173,17,906,1303,Y,2013-07-29,2013-08-30,0,1,32,56-70,Married,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,484,19,0.76793893129771,655,48833.3,74.55465648854963,0.021374045801526718,0.007768264688235282
66,174,18,1055,1173,X,2013-08-10,2013-10-04,1,0,55,,,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,327,0,0.821608040201005,398,52907.2,132.9326633165829,0.002512562814070352,0.0006732543018719569
67,175,18,1043,1202,X,2013-08-10,2013-10-04,1,0,55,36-45,Single,0.0,3.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,77,0,0.14102564102564102,546,54266.19,99.38862637362638,0.04395604395604396,0.01434207929467685
68,177,23,442,1093,Y,2013-10-08,2013-11-15,0,1,38,46-55,Married,0.0,4.0,2.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,871,2,0.6438053097345132,1356,184083.74,135.75497050147493,0.024336283185840708,0.004827748501850299
69,178,18,198,1555,X,2013-08-10,2013-10-04,1,0,55,,,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3233,1606,1.0701017249004865,4522,518142.13999999996,114.58251658558159,0.016585581601061477,0.00786095105099925
70,185,22,929,832,X,2013-09-16,2013-10-18,1,0,32,,,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1176,4,0.6276595744680851,1880,353039.54,187.78698936170213,0.0,-0.0
71,189,22,811,1555,X,2013-09-16,2013-10-18,1,0,32,,,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,208,8,0.047766475011057054,4522,518142.13999999996,114.58251658558159,0.016585581601061477,0.00786095105099925
72,190,17,173,701,Y,2013-07-29,2013-08-30,0,1,32,,,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,361,0,0.8698795180722891,415,31902.909999999996,76.87448192771083,0.0,-0.0
73,191,18,236,292,X,2013-08-10,2013-10-04,1,0,55,26-35,Single,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,167,61,0.8,285,34954.62,122.64778947368421,0.0,-0.0
74,199,18,877,162,X,2013-08-10,2013-10-04,1,0,55,26-35,Married,0.0,2.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1551,65,0.8027819175360159,2013,240990.03999999998,119.7168604073522,0.031793343268753105,0.009101869936201514
75,201,17,1069,1023,Y,2013-07-29,2013-08-30,0,1,32,18-25,Single,1.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,2332,0,0.8523391812865497,2736,204217.99000000002,74.64107821637428,0.00402046783625731,0.0024506166180560287
76,203,18,526,1397,X,2013-08-10,2013-10-04,1,0,55,,,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,320,1,0.6659751037344398,482,49068.21000000001,101.80126556016599,0.0,-0.0
77,204,22,811,962,X,2013-09-16,2013-10-18,1,0,32,26-35,Married,1.0,3.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,70,16,0.06323529411764706,1360,183629.43,135.02163970588234,0.030882352941176472,0.006389498676764396
78,210,18,501,1461,X,2013-08-10,2013-10-04,1,0,55,46-55,Married,0.0,2.0,1.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,56,5,0.058653846153846154,1040,93422.58,89.82940384615385,0.016346153846153847,0.004670498288529389
79,211,18,178,148,X,2013-08-10,2013-10-04,1,0,55,,,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15,159,0.37339055793991416,466,68835.57,147.7158154506438,0.008583690987124463,0.0036222551799890658
80,212,22,590,338,X,2013-09-16,2013-10-18,1,0,32,46-55,Married,0.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,493,1,0.7450980392156863,663,78651.81,118.63018099547511,0.004524886877828055,0.0008377429584900843
81,216,18,198,92,X,2013-08-10,2013-10-04,1,0,55,46-55,Married,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,363,77,0.8103130755064457,543,69484.94,127.96489871086557,0.014732965009208104,0.006818024164660716
82,223,18,419,626,X,2013-08-10,2013-10-04,1,0,55,36-45,Single,0.0,2.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,667,0,0.23560579300600495,2831,250892.38,88.62323560579301,0.06040268456375839,0.025108893303176442
83,226,21,953,1574,Y,2013-09-16,2013-10-18,0,1,32,36-45,Married,0.0,2.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,1888,0,0.776954732510288,2430,243618.72999999998,100.25462139917694,0.17695473251028807,0.04900197944550487
84,227,22,37,1441,X,2013-09-16,2013-10-18,1,0,32,36-45,Married,0.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,631,17,0.3450479233226837,1878,254683.03,135.61396698615548,0.039936102236421724,0.012066920988021855
85,229,18,1064,1148,X,2013-08-10,2013-10-04,1,0,55,,,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,470,0,0.6291834002677377,747,149741.02,200.45651941097722,0.025435073627844713,0.006310762408323385
86,232,18,214,987,X,2013-08-10,2013-10-04,1,0,55,,,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,755,291,1.0816959669079629,967,92434.29000000001,95.5887176835574,0.001034126163391934,0.0011560644864584343
87,234,18,640,1222,X,2013-08-10,2013-10-04,1,0,55,46-55,Married,0.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,357,0,0.6538461538461539,546,58140.67,106.48474358974359,0.0018315018315018315,0.000245095214761027
88,235,18,693,1200,X,2013-08-10,2013-10-04,1,0,55,,,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,120,24,0.2236024844720497,644,72723.51000000001,112.92470496894411,0.0,-0.0
89,236,25,596,962,Y,2013-10-21,2013-11-22,0,1,32,26-35,Married,1.0,3.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1102,60,0.8544117647058823,1360,183629.43,135.02163970588234,0.030882352941176472,0.006389498676764396
90,237,17,703,1442,Y,2013-07-29,2013-08-30,0,1,32,,,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,344,2,0.728421052631579,475,54475.71,114.6857052631579,0.002105263157894737,0.0013077388068920993
91,244,20,842,275,Y,2013-09-07,2013-11-16,0,1,70,,,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,962,0,0.7616785431512272,1263,120066.73,95.06471100554235,0.001583531274742676,0.00031149345035048426
92,245,23,39,1434,Y,2013-10-08,2013-11-15,0,1,38,,,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1240,40,0.8205128205128205,1560,101968.9,65.36467948717949,0.002564102564102564,0.0013448218035106783
93,246,25,744,305,Y,2013-10-21,2013-11-22,0,1,32,,,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1368,0,0.762116991643454,1795,226702.56,126.29669080779944,0.019498607242339833,0.0051142342636095505
94,248,18,254,233,X,2013-08-10,2013-10-04,1,0,55,,,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,45,0,0.078397212543554,574,64825.89,112.9370905923345,0.003484320557491289,0.002197887294721291
95,249,22,801,1246,X,2013-09-16,2013-10-18,1,0,32,26-35,Married,0.0,5.0,3.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1042,10,0.7792592592592592,1350,163455.84999999998,121.0784074074074,0.01925925925925926,0.005349823820927792
96,251,23,40,207,Y,2013-10-08,2013-11-15,0,1,38,46-55,Married,0.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,123,411,0.3510848126232742,1521,212915.62999999998,139.98397764628533,0.018408941485864562,0.003646984488644634
97,252,17,703,1292,Y,2013-07-29,2013-08-30,0,1,32,46-55,Married,0.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,571,8,0.735705209656925,787,79011.38,100.39565438373572,0.0025412960609911056,0.0013524634046386734
98,253,18,865,1010,X,2013-08-10,2013-10-04,1,0,55,,,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,335,0,0.9228650137741047,363,107227.44999999998,295.39242424242417,0.05509641873278237,0.021592418732330206
99,256,25,527,699,Y,2013-10-21,2013-11-22,0,1,32,,,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,854,8,0.7443868739205527,1158,109398.31,94.47177029360967,0.0008635578583765112,0.00032559917973138704
